nerd01,nerd02,nerd03,nerd04,nerd05,nerd06,nerd07,nerd08,nerd09,nerd10,nerd11,nerd12,nerd13,nerd14,nerd15,nerd16,nerd17,nerd18,nerd19,nerd20,nerd21,nerd22,nerd23,nerd24,nerd25,nerd26,country,introelapse,testelapse,surveyelapse,pers.ext.1,pers.agr.1,pers.con.1,pers.neu.1,pers.ope.1,pers.ext.2,pers.agr.2,pers.con.2,pers.neu.2,pers.ope.2,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,vocab8,vocab9,vocab10,vocab11,vocab12,vocab13,vocab14,vocab15,vocab16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race_arab,race_asian,race_black,race_white,race_hispanic,race_nativeam,race_nativeau,race_other,nerdy,ASD
5,5,4,5,4,4,1,5,4,4,5,1,0,2,4,5,5,5,5,2,5,3,5,4,1,5,US,2,63,97,5,3,6,6,5,5,3,6,1,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,2,1,1,17,360,640,1,1,2,2,1,3,,0,0,0,1,0,0,0,0,5,1
3,5,4,3,4,4,5,4,4,5,2,5,5,4,2,4,5,5,4,4,2,4,5,5,5,5,US,26,57,98,1,5,6,3,4,6,2,1,6,3,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,3,2,1,1,50,1536,960,2,2,1,2,1,2,Math,0,0,0,1,0,0,0,0,6,2
4,5,5,4,3,4,5,5,4,5,5,5,4,5,1,4,3,5,5,5,3,4,5,4,3,4,US,2,60,91,2,6,3,2,6,7,5,5,6,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1024,768,1,2,1,2,1,3,,0,0,0,1,0,0,0,0,6,2
5,5,4,5,5,5,5,3,5,4,5,4,3,2,5,1,3,4,5,3,1,3,3,4,4,4,US,12,175,222,6,4,6,4,6,6,7,5,4,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,3,1,1,15,1366,768,1,7,1,2,1,4,,0,0,0,1,0,0,0,0,7,1
4,4,4,4,2,3,3,5,4,4,4,3,4,4,4,3,4,5,2,4,5,2,4,4,3,3,NZ,580,67,192,5,5,6,2,6,5,3,5,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,1,16,1600,900,1,12,5,2,1,3,,0,0,0,0,0,0,0,1,6,2
3,5,5,2,5,5,5,5,5,5,1,5,5,5,5,5,5,5,2,5,5,5,5,5,4,4,US,3,99,144,1,7,6,7,5,7,5,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,3,1,1,55,600,1024,1,6,1,1,2,2,psychology ,0,0,0,1,0,0,0,0,5,2
5,4,5,5,3,4,5,1,4,5,1,4,4,3,1,4,5,5,4,5,1,1,5,5,5,4,ZA,602,84,135,2,5,6,7,6,6,7,3,2,7,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,1,1,34,1696,954,1,9,3,2,1,2,Medicine,0,0,0,1,0,0,0,0,7,2
4,5,2,2,5,4,5,2,4,2,5,4,2,4,2,1,2,4,5,2,1,1,2,4,5,4,US,4,168,99,7,6,6,5,7,5,7,5,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,3,1,2,25,320,570,1,10,1,1,1,2,Mathematics ,0,1,0,0,0,0,0,0,5,2
4,4,4,4,5,4,5,5,5,4,4,5,5,5,2,4,5,4,3,5,5,4,5,5,4,5,US,15,917,360,2,6,7,2,7,6,3,6,7,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,3,2,2,14,768,1024,1,2,5,2,1,3,,0,1,0,0,0,0,0,0,6,2
5,5,3,5,4,4,5,5,5,5,5,4,5,5,2,4,4,4,5,5,5,5,4,5,3,4,IT,6,293,239,3,5,6,4,7,6,5,5,6,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,2,1,1,2,17,360,640,1,12,1,2,1,2,,0,0,0,1,0,0,0,0,7,2
5,5,3,3,4,3,4,5,5,5,4,5,4,4,3,3,3,5,5,3,5,1,5,4,4,5,CA,7,1198,173,5,1,6,1,6,5,3,6,7,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,2,3,1,1,43,1600,1200,1,2,1,1,1,3,,0,0,0,1,0,0,0,0,3,2
4,4,5,5,3,3,4,5,4,5,4,5,4,2,5,5,4,5,5,3,5,1,4,4,1,4,US,6,105,89,6,7,5,7,6,4,2,7,1,2,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,3,2,1,15,1440,900,1,7,1,2,1,2,,0,1,0,0,0,0,0,0,5,2
5,5,4,3,2,3,3,5,1,3,4,1,5,5,1,5,3,3,2,5,5,5,5,5,3,2,IT,63,167,220,6,5,6,7,6,5,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,2,17,357,595,1,4,1,2,1,1,Math,0,0,0,1,0,0,0,0,6,2
4,4,4,4,4,3,1,5,4,3,2,3,5,3,4,5,5,2,3,1,4,2,2,4,4,4,NONE,5,94,119,3,7,5,5,4,3,3,2,2,2,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,2,2,2,2,18,1280,768,1,2,2,2,1,2,,0,0,0,0,1,0,0,0,5,2
