nerd01,nerd02,nerd03,nerd04,nerd05,nerd06,nerd07,nerd08,nerd09,nerd10,nerd11,nerd12,nerd13,nerd14,nerd15,nerd16,nerd17,nerd18,nerd19,nerd20,nerd21,nerd22,nerd23,nerd24,nerd25,nerd26,country,introelapse,testelapse,surveyelapse,pers.ext.1,pers.agr.1,pers.con.1,pers.neu.1,pers.ope.1,pers.ext.2,pers.agr.2,pers.con.2,pers.neu.2,pers.ope.2,vocab1,vocab2,vocab3,vocab4,vocab5,vocab6,vocab7,vocab8,vocab9,vocab10,vocab11,vocab12,vocab13,vocab14,vocab15,vocab16,education,urban,gender,engnat,age,screenw,screenh,hand,religion,orientation,voted,married,familysize,major,race_arab,race_asian,race_black,race_white,race_hispanic,race_nativeam,race_nativeau,race_other,nerdy,ASD
5,3,1,5,4,3,3,4,5,1,4,3,4,2,1,3,2,1,3,3,3,1,5,4,3,2,US,1,89,125,1,7,1,7,7,1,6,7,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,1,38822,320,568,1,2,3,2,1,3,,0,1,0,0,0,0,0,0,6,2
3,2,4,1,4,2,4,2,4,4,1,3,4,2,1,2,4,4,2,1,5,1,4,4,1,4,ID,13,231,303,2,5,6,3,7,7,7,6,5,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,4,2,1,2,30,1366,768,1,2,1,2,2,1,Political Science,0,0,0,1,0,0,0,0,2,2
1,5,4,1,3,5,5,5,4,4,1,4,5,5,5,4,3,4,2,5,1,2,5,4,1,4,BA,1671,1858,164,2,1,6,1,2,6,7,1,7,6,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,3,2,1,18,1600,900,1,10,1,2,0,2,,0,0,0,1,0,0,0,0,6,2
4,5,5,4,4,3,5,5,4,4,5,5,5,5,5,3,3,4,5,5,1,1,3,4,4,5,BG,13,169,321,1,7,6,7,4,7,4,2,4,6,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,2,16,1366,768,1,10,1,2,1,2,,0,0,0,1,0,0,0,0,6,2
4,5,5,4,3,3,3,5,3,3,4,4,5,4,5,5,5,3,5,4,3,5,3,4,4,4,DE,5,61,96,2,2,2,4,4,5,5,6,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,2,29,1680,1050,1,1,2,1,2,2,,0,0,0,1,0,0,0,0,6,2
1,4,5,5,5,5,5,5,4,5,5,5,3,4,3,5,5,5,5,5,0,5,4,5,5,4,GB,9,59,89,5,6,5,7,7,6,5,5,5,4,1,1,0,1,1,0,0,1,0,1,0,0,0,1,1,1,2,1,2,1,17,1920,1080,1,2,2,1,1,2,,0,0,0,1,0,0,0,0,7,1
5,5,1,5,5,3,5,4,5,4,5,4,2,3,4,1,2,5,5,3,5,2,5,5,4,5,US,4,76,68,7,6,6,1,7,5,6,2,6,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,3,1,16,1920,1080,3,12,5,2,1,2,,0,0,0,1,0,0,0,0,5,2
1,5,5,4,3,2,3,4,3,3,4,2,2,3,2,4,2,4,4,3,3,3,2,3,2,4,US,1130,85,138,6,5,2,6,5,3,6,6,3,5,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,1,2,2,1,15,1366,768,1,1,2,2,1,2,,0,0,0,1,0,0,0,0,5,2
4,5,5,5,4,3,4,5,3,3,3,3,4,3,5,5,4,1,4,3,4,1,4,5,3,4,CA,9,124,201,3,1,7,7,2,7,6,3,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,20,320,568,1,2,3,1,1,2,,0,0,0,1,0,0,0,0,5,2
5,5,5,5,4,5,4,5,5,0,5,5,5,5,4,5,5,5,5,5,5,4,5,5,3,4,US,6,58,119,3,3,6,6,4,7,5,5,3,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,3,2,2,1,23,1920,1080,1,12,4,1,1,2,Music,0,0,0,1,0,0,0,1,6,2
3,5,4,2,5,3,5,5,5,4,2,5,2,2,5,3,4,4,5,3,1,3,5,4,5,4,US,5,109,218,5,6,7,2,6,4,5,6,7,5,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,1,1,18,360,640,2,12,1,2,1,3,Aerospace Engineer ,0,0,0,1,0,0,0,0,5,2
4,4,5,5,4,4,5,3,5,5,5,4,2,2,4,2,5,2,4,4,5,1,0,4,4,4,US,3,109,201,6,4,5,3,7,6,6,3,6,3,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,2,1,22,1366,768,1,2,3,1,1,2,communications,0,0,0,1,0,0,0,0,7,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,3,5,5,5,5,US,2,66,117,1,5,5,7,5,7,5,6,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,2,1,2,1,21,1920,1080,1,2,4,2,1,2,,0,0,0,1,0,0,0,0,6,1
5,5,5,5,5,5,5,5,5,5,3,4,3,4,5,5,5,5,5,2,5,2,5,5,5,4,HU,424,92,124,6,4,5,5,7,4,6,7,4,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,4,3,2,2,21,1366,768,3,1,2,1,1,1,commercial marketing,0,0,0,1,0,0,0,0,7,2
1,5,0,5,5,5,4,3,5,5,1,5,3,5,0,5,3,5,3,5,5,4,5,5,1,5,US,10,171,586,4,1,6,5,7,2,6,4,3,6,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,1,2,1,88,1920,1080,1,4,1,2,2,3,english,0,0,0,1,0,1,0,0,6,2
2,5,4,4,4,3,5,4,5,4,3,4,5,4,3,4,3,5,5,4,2,2,2,5,2,5,RU,21,124,165,5,6,2,2,7,6,6,6,7,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,2,3,1,2,20,1600,900,1,1,1,2,1,2,Computational Mathematics,0,0,0,1,0,0,0,0,6,2
3,3,5,3,5,5,5,3,5,4,1,3,1,5,1,4,2,5,1,5,5,5,2,4,4,5,US,2,102,168,4,1,7,4,7,5,6,7,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,2,3,1,2,19,1680,1050,1,4,3,2,1,5,,0,0,0,1,0,0,0,0,7,2
5,5,5,5,5,5,4,5,4,5,2,3,5,5,5,2,4,5,2,3,4,3,5,5,5,5,US,4,127,96,2,5,3,1,6,6,1,4,5,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,4,1,1,1,30,1440,900,3,2,1,1,2,2,Business,0,0,0,1,0,0,0,0,5,2
3,5,5,2,4,2,2,4,2,4,3,2,4,3,5,5,5,1,5,2,4,2,4,2,2,4,CA,2,99,114,1,5,6,6,5,7,6,2,3,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,3,2,1,17,1600,900,1,2,2,2,1,4,,0,0,0,1,0,0,0,0,7,2
5,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,5,3,5,3,5,3,3,5,US,12,103,218,3,6,6,7,7,7,7,5,7,4,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,2,2,2,1,20,360,640,1,1,1,2,1,6,,0,0,0,1,1,0,0,0,7,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,1,3,5,5,2,5,US,4,87,125,1,2,6,6,5,7,2,3,5,6,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,1,2,1,24,1366,768,3,2,4,2,1,0,geology,0,0,0,0,0,0,0,1,6,1
2,5,4,2,5,4,4,5,5,5,3,5,5,5,3,5,5,5,5,2,5,1,5,5,2,5,US,8,88,105,1,3,4,6,7,6,6,5,5,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,2,2,1,16,1920,1080,1,12,1,2,1,1,,0,0,0,1,0,0,0,0,6,2
1,1,3,1,3,1,4,3,3,3,1,3,1,3,1,5,4,2,3,4,1,1,1,4,5,4,BG,4,189,248,5,5,5,3,5,7,7,4,3,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,2,25,1536,864,1,0,1,1,1,2,,0,0,0,1,0,0,0,0,2,2
4,4,3,4,5,3,4,4,3,5,4,3,3,4,3,2,3,4,4,3,3,1,3,3,4,3,GB,419,124,185,4,5,3,7,3,4,2,7,3,5,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,3,2,1,1,18,360,640,1,2,5,1,1,3,Economics,1,1,0,1,0,0,0,0,5,2
4,4,5,4,3,4,5,5,3,4,2,4,5,3,3,4,4,5,3,4,2,3,5,4,4,5,US,7,129,227,2,6,6,6,7,5,6,2,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,3,1,19,768,1024,1,6,4,2,1,2,Biomedical,0,0,0,1,0,0,0,0,5,2
4,2,2,2,2,4,1,1,2,1,4,1,1,4,1,1,1,5,3,1,1,1,1,5,1,3,GB,20,84,101,6,3,3,3,5,2,6,6,6,2,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,3,2,2,1,23,1280,800,1,1,5,2,1,2,Geography and Politics,0,0,0,1,0,0,0,0,6,2
5,4,5,5,1,1,2,5,5,5,4,4,4,4,3,5,5,1,5,3,2,1,4,2,2,2,US,6,90,145,2,6,3,7,4,5,5,6,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,1,1,1,2,2,3,1,18,360,640,1,1,4,2,1,3,,0,0,0,1,0,0,0,0,3,2
5,3,4,3,4,5,4,4,3,3,2,2,4,3,4,3,3,5,2,3,2,2,4,3,3,4,US,2,116,110,4,0,5,6,5,3,7,4,2,3,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,3,3,2,1,22,600,976,1,6,1,2,1,3,psychology,0,0,0,0,1,0,0,0,4,2
4,5,4,5,4,1,2,5,4,4,4,3,4,4,5,4,5,3,2,3,2,3,5,4,4,4,US,60,121,201,1,7,5,7,6,6,5,6,1,6,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,3,1,17,361,601,1,6,2,2,1,9,,0,0,0,1,0,0,0,0,7,2
1,1,5,1,5,4,5,1,5,5,1,5,5,4,1,1,1,1,1,2,1,4,4,5,5,5,US,2,75,131,6,6,6,5,7,2,6,2,2,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,4,3,2,1,49,1152,648,1,4,1,1,2,6,political science,0,0,0,1,0,0,0,0,5,2
5,5,4,5,4,3,5,5,4,2,4,5,3,3,3,4,5,4,5,3,1,2,4,4,4,4,US,11,94,166,6,7,5,6,7,5,5,3,1,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,1,1,17,360,640,1,2,2,2,1,4,,0,0,0,1,1,0,0,0,6,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,US,4,85,125,1,3,7,7,2,7,7,1,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,2,2,1,16,1366,768,2,6,2,2,1,2,,0,1,0,1,0,0,0,0,7,2
4,4,5,5,4,3,3,4,4,4,3,4,2,3,5,4,4,2,5,3,4,1,3,4,3,3,US,5,96,149,2,5,5,6,5,6,4,3,2,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,19,1366,768,1,4,2,2,1,3,,0,0,0,0,0,0,0,0,4,2
4,4,4,4,4,3,4,5,4,4,5,4,3,3,4,3,4,5,5,3,4,1,5,4,3,5,US,25,65,96,5,6,6,5,7,5,5,5,4,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,25,1280,1024,3,6,4,2,1,1,,0,0,0,1,0,0,0,0,7,2
4,4,5,4,4,4,5,4,3,4,4,4,4,3,3,5,5,4,5,5,1,4,5,4,3,4,US,11,60,189,2,4,3,7,2,7,4,6,2,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,2,2,1,19,1366,768,1,2,5,2,1,5,,0,0,0,0,1,0,0,0,6,2
5,4,1,4,5,5,5,5,5,5,1,4,2,5,1,4,5,5,5,5,5,1,5,5,5,5,US,25,97,226,5,7,7,7,7,3,6,6,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,2,1,2,1,18,375,667,1,1,2,2,1,3,Political science,0,0,0,1,1,0,0,0,7,2
5,5,5,5,4,5,5,4,5,5,3,4,4,4,2,4,4,3,4,3,3,2,4,5,4,5,BR,355,71,133,2,6,1,5,3,7,6,7,3,2,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,4,3,1,2,33,1366,768,1,2,1,1,2,4,Communication,0,0,0,1,1,0,0,0,6,2
5,3,5,4,2,5,5,4,3,5,3,4,2,3,4,5,0,5,5,4,3,1,3,5,4,4,US,2,143,248,3,7,6,7,5,5,5,3,4,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,35,1280,800,1,1,1,1,1,3,,0,0,0,1,0,0,0,0,4,2
4,4,4,4,2,4,4,4,5,4,4,4,2,2,2,4,4,4,5,2,4,3,3,4,2,3,US,6,143,130,3,6,2,6,5,6,2,5,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,3,1,17,1920,1080,1,1,4,2,1,1,,0,0,1,1,0,0,0,0,5,2
4,4,5,4,2,5,2,5,5,5,5,4,5,2,5,4,4,5,3,5,5,2,5,5,1,5,US,6,66,95,1,3,5,2,7,6,4,5,4,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,2,2,1,20,1280,800,1,7,1,2,1,2,English Language and Literature ,0,0,0,1,0,0,0,0,7,2
4,5,4,4,5,4,5,4,5,4,3,4,4,3,5,3,3,5,1,3,4,1,5,5,2,5,IL,668,154,262,7,6,2,7,7,1,7,5,1,2,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,17,1776,1000,1,9,3,2,1,2,law,0,0,0,0,0,0,0,1,7,2
5,5,4,5,2,3,4,5,3,3,5,4,5,2,4,4,4,3,5,2,3,2,4,3,3,3,US,11,81,141,3,3,3,6,6,7,6,5,5,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,19,1920,1080,1,12,1,2,1,3,computer sciences,0,0,0,1,0,0,0,0,7,2
5,1,3,5,5,5,5,1,5,5,1,1,4,3,1,2,2,5,1,3,2,4,5,4,2,5,US,13,63,124,2,6,7,4,2,3,4,1,4,5,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,1,1,45,1707,960,1,12,1,2,1,1,physiology,0,0,0,1,0,0,0,0,7,2
4,5,5,4,5,5,5,5,5,5,5,5,5,3,4,5,5,3,5,5,5,2,5,5,5,4,CA,3,73,110,6,5,7,7,6,7,7,4,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1,3,2,1,17,1280,800,2,12,2,2,1,1,,0,0,0,1,0,0,0,0,6,2
4,2,3,3,5,4,3,2,3,5,4,3,1,4,2,2,3,4,2,4,4,3,3,4,4,4,US,13,294,290,5,1,4,5,7,5,7,4,3,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,16,1920,1080,1,6,5,2,1,2,,0,0,1,0,0,0,0,0,3,2
4,3,4,3,3,4,3,4,2,4,4,2,3,3,3,5,4,4,5,4,3,1,2,4,2,3,US,41,97,158,1,2,5,6,2,7,5,1,1,2,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,2,1,15,1366,768,3,12,4,2,1,2,,0,0,0,1,0,0,0,0,5,2
5,5,5,5,3,4,4,5,5,5,5,4,4,5,1,5,5,3,2,4,5,3,5,5,5,5,US,47,76,143,2,7,5,3,4,4,2,5,3,4,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,1,3,1,13,1440,900,1,1,5,2,1,1,,0,0,0,1,0,0,0,0,5,2
3,5,5,4,4,4,4,4,5,4,4,4,4,3,5,2,3,5,4,4,4,3,3,4,4,5,US,20,70,125,5,5,2,5,5,2,4,6,2,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,1366,768,1,7,1,2,1,2,,0,0,0,1,0,0,0,0,4,2
1,4,2,2,4,2,4,1,4,3,5,4,1,4,3,2,3,4,5,2,3,2,4,5,4,5,PH,17,133,152,6,3,5,2,7,5,5,5,6,2,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,3,3,1,1,36,1600,900,2,4,1,1,1,3,industrial engineering,0,1,0,0,0,0,0,0,3,2
4,2,4,5,5,3,5,4,5,3,2,5,3,3,1,2,4,3,1,2,1,3,5,5,5,5,NZ,6,144,271,5,3,6,2,6,6,5,1,6,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,1,1,57,1280,720,1,12,1,2,2,4,Finance,0,0,0,1,0,0,0,0,5,2
4,2,5,5,5,3,2,5,5,5,5,4,2,1,3,5,5,5,5,3,3,1,3,5,4,2,US,5,63,106,2,7,3,7,3,5,5,6,1,2,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,2,3,3,1,17,1440,900,1,7,5,2,1,3,,0,0,0,1,0,0,0,0,4,2
4,3,5,5,4,2,2,4,3,3,4,3,4,3,2,3,4,1,5,2,1,4,4,4,2,5,US,4,83,135,2,4,5,7,3,7,5,4,3,2,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,3,2,2,1,21,1366,768,2,12,1,2,1,2,Psychology ,0,0,1,0,0,0,0,0,4,2
3,5,4,3,4,3,5,5,4,4,5,4,4,4,2,5,5,3,5,3,2,3,5,5,5,4,CL,13,135,221,1,4,5,7,6,6,3,2,1,5,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,2,2,2,18,360,640,1,12,4,2,1,3,,0,0,0,1,1,0,0,1,5,2
3,5,5,5,5,4,5,3,4,3,1,5,4,4,2,5,4,5,3,4,1,1,5,5,5,5,US,3,177,231,5,1,3,2,5,3,7,2,7,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,4,2,2,1,42,768,1024,1,6,1,2,2,3,Chemistry,0,0,0,1,0,0,0,0,6,2
3,4,3,3,4,2,4,4,2,3,4,4,3,3,3,4,3,2,4,3,2,3,3,3,3,3,AU,18,92,125,5,3,5,2,5,4,6,5,5,4,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,1,1,18,1366,768,1,2,4,2,1,2,,0,0,0,1,0,0,0,0,5,2
3,2,5,3,3,3,2,5,3,4,5,2,3,2,3,4,4,5,5,2,1,2,4,4,2,3,US,2,103,178,5,5,6,5,5,5,7,3,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,18,375,667,1,12,2,2,1,1,,0,0,0,1,0,0,0,0,6,2
4,5,5,5,2,5,1,5,4,5,3,3,5,4,2,2,5,3,3,5,5,2,5,5,1,5,AU,18,82,253,1,3,6,6,7,5,6,2,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,18,1366,768,2,2,2,2,1,6,,0,0,0,1,0,0,0,0,5,2
4,5,4,3,3,5,5,5,3,5,4,5,5,4,5,5,4,5,5,5,5,5,5,4,3,4,US,9,154,184,1,4,6,5,4,7,6,5,5,4,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,2,2,2,1,18,360,640,1,1,1,2,1,2,,0,0,0,1,0,0,0,0,7,2
5,4,4,4,3,4,3,5,4,4,5,3,5,4,4,5,5,5,5,3,5,3,4,5,3,5,US,36,86,176,3,3,5,6,4,6,6,3,3,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,2,2,1,16,375,667,1,7,4,2,1,3,,0,0,0,1,0,0,0,0,7,2
5,5,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,5,5,1,5,5,5,5,US,35,52,103,1,1,7,1,7,7,5,5,7,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,1,1,3,3,1,1,23,0,0,1,12,1,2,1,2,Chemical Engineering,0,1,0,0,0,0,0,0,7,2
5,5,3,5,3,3,4,5,3,5,5,5,2,4,5,3,4,4,5,2,4,1,4,4,4,3,US,10,246,203,6,5,5,7,5,6,7,5,5,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,2,3,3,1,22,360,640,2,2,5,1,1,1,,0,0,0,1,0,0,0,0,7,2
4,3,5,5,5,2,2,4,5,5,5,2,3,3,3,5,4,4,5,5,3,1,5,5,3,5,US,7,42,67,6,7,1,7,6,4,6,7,5,6,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,2,2,1,17,1600,900,2,1,2,2,1,2,,0,1,0,1,0,0,0,0,7,2
4,5,4,5,4,4,5,4,4,4,1,2,3,3,3,2,3,5,2,3,2,3,4,4,3,3,US,2,54,94,2,2,6,2,6,6,6,6,5,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,2,2,2,1,20,1280,800,1,2,2,2,1,2,computer science,0,1,0,1,0,0,0,0,5,2
5,5,5,5,4,4,4,4,5,4,4,3,3,3,3,3,4,1,5,3,2,2,4,5,2,4,CA,12,99,137,6,3,7,7,5,6,6,6,2,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,3,1,19,1366,768,1,7,2,1,1,4,,0,0,0,1,0,0,0,0,7,2
3,5,3,2,4,4,5,4,3,3,5,4,1,1,4,4,2,5,5,1,2,1,4,3,3,4,US,17,66,114,6,7,6,4,7,2,4,6,2,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,3,2,2,1,24,1366,768,1,1,5,1,1,3,PACS,0,0,0,1,0,0,0,0,5,2
3,5,4,4,2,3,5,4,3,3,1,4,3,4,4,3,3,4,1,3,4,3,5,4,3,4,US,79547,155,179,2,5,6,5,5,5,6,3,5,5,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,3,1,2,1,28,1366,768,1,1,2,2,1,4,Animal Science,0,0,0,1,0,0,0,0,6,2
5,5,4,5,4,4,5,3,4,5,5,4,4,4,4,4,4,5,4,3,5,3,5,4,3,4,US,20,742,191,2,3,5,1,7,7,7,1,6,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,2,2,1,24,360,640,1,12,4,2,1,2,English,0,0,0,1,1,0,0,0,6,2
4,5,4,4,4,3,4,5,2,3,5,3,4,3,4,3,2,4,4,2,5,3,2,4,4,4,US,43,121,139,5,6,6,2,6,4,6,3,5,5,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,2,2,1,13,1600,900,2,1,2,2,1,3,,0,0,0,1,0,0,0,0,6,2
5,1,5,5,1,1,1,4,2,3,5,2,4,1,1,3,4,2,5,1,5,1,5,5,1,1,US,8,78,118,4,1,3,5,2,7,7,6,7,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,23,1366,768,1,6,5,1,1,0,English,0,0,0,1,0,0,0,0,5,2
3,5,5,3,5,5,5,5,3,3,3,5,5,5,5,5,5,1,1,5,1,3,5,5,5,3,NO,11,118,216,4,6,7,7,7,7,5,7,6,5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,2,2,33,337,472,1,4,1,1,1,4,it,0,0,1,0,0,0,0,0,4,2
5,5,5,5,5,5,4,5,4,5,5,3,5,3,5,5,5,5,5,4,3,3,5,5,4,5,US,6,86,153,4,5,5,7,6,5,7,3,2,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,2,2,2,1,17,360,640,1,4,2,2,1,1,,0,0,0,1,0,0,0,0,7,2
1,5,1,3,4,2,5,1,4,4,3,5,2,4,3,1,1,1,2,2,1,3,3,3,5,4,PH,34,231,311,5,1,1,1,6,3,7,1,7,5,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,4,2,2,2,56,1024,768,2,7,4,2,1,2,management,0,1,0,0,0,0,0,0,5,2
4,4,5,4,4,5,4,5,5,5,3,3,5,5,4,4,5,4,3,5,2,4,5,5,3,5,NO,1452,350,77,3,3,5,6,5,7,3,3,5,6,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,3,1,2,2,24,1280,800,1,2,3,1,1,1,comparative literature,0,0,0,1,0,0,0,0,7,2
4,5,4,3,2,3,5,5,3,4,4,4,3,4,4,3,4,3,5,5,4,5,4,5,4,5,DE,905,148,110,3,2,5,5,6,6,5,2,3,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,3,2,2,18,1920,1080,1,6,4,2,1,2,,0,0,0,1,0,0,0,0,6,2
4,4,4,4,3,4,3,4,4,3,3,4,5,3,5,5,4,4,5,3,5,3,4,5,4,4,NL,21,128,210,5,6,6,7,5,5,5,7,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2,2,2,2,17,1366,768,1,1,4,2,1,2,,0,0,0,1,0,0,0,0,5,2
4,2,4,3,3,2,1,5,3,3,2,1,3,3,4,4,4,1,2,3,1,1,3,2,2,4,AU,66,155,250,4,5,6,7,4,4,6,5,2,2,1,1,0,1,1,0,0,0,0,1,0,0,0,0,1,1,2,1,2,1,18,768,1024,1,7,1,2,1,2,Beauty,0,0,0,1,0,0,0,0,3,2
5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,5,2,1,5,5,2,5,GB,185,181,101,2,6,3,5,7,3,2,6,3,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,1,1,1,2,2,1,15,1920,1080,1,2,3,2,1,2,,0,0,0,1,0,0,0,0,7,2
4,4,4,2,3,3,5,2,4,4,2,5,3,4,5,3,3,4,4,4,1,3,0,4,4,4,GB,17,82,126,3,4,5,4,6,5,7,1,6,2,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3,3,2,1,21,1366,768,1,11,1,2,1,2,Sports & Exercise Science,0,1,0,0,0,0,0,0,4,2
3,4,4,2,5,4,4,3,5,5,3,5,5,5,3,5,5,2,2,4,5,1,5,5,3,5,DE,7,103,82,1,6,6,1,5,7,2,2,7,2,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,1,1,1,19,1280,800,1,6,1,2,1,4,,0,0,0,1,0,0,0,0,5,2
5,5,4,5,2,4,4,4,5,3,2,3,5,3,5,3,3,5,4,4,5,2,5,4,2,4,US,2,218,3352,6,5,3,5,6,2,5,6,2,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,2,1,16,768,1024,1,6,1,2,1,3,,0,0,0,1,0,0,0,0,5,2
3,5,5,5,5,4,5,5,4,5,2,1,5,4,1,4,5,4,5,4,1,1,5,5,4,4,US,444,127,254,1,7,5,5,5,7,3,3,4,3,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,2,2,2,1,20,375,667,1,7,5,2,1,3,Psychology,0,0,0,1,0,0,0,0,6,1
5,5,5,4,4,5,5,5,5,5,4,5,5,4,2,5,5,5,4,5,4,5,5,5,5,4,GB,3,81,142,1,5,6,6,5,6,6,2,6,2,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,2,2,2,1,18,1280,720,1,1,1,2,1,2,biochem,0,0,0,1,0,0,0,0,7,2
5,3,5,5,3,4,3,5,3,5,5,1,5,2,4,5,5,1,5,2,1,1,4,4,1,3,US,1,94,175,1,7,2,7,7,6,2,6,1,3,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2,3,2,1,21,1280,800,1,4,1,2,1,1,,0,0,0,0,1,0,0,0,5,2
